AM1 EF PRECISE GNORM=0.05 NOINTER GRAPHF VECTORS MMOK

Winmostar
C  0          0 0          0 0          0      0      0      0
C  1.403816   1 0          0 0          0      1      0      0
C  1.413707   1 122.59813  1 0          0      1      2      0
N  1.409984   1 128.35741  1 180.01981  1      1      2      3
C  1.395575   1 107.02425  1 0          1      4      1      3
N  1.39358    1 106.4053   1 0          1      3      1      4
C  1.4744     1 126.49483  1 179.98021  1      4      1      3
H  1.102159   1 125.89761  1 179.98021  1      5      4      1
N  1.389493   1 121.0556   1 0          1      3      1      2
O  1.5        1 121.4445   1 179.98019  1      2      1      3
N  1.396132   1 116.8142   1 179.98019  1      2      1     10
C  1.4744     1 120.07489  1 180        1     11      2      1
C  1.4744     1 122.03381  1 180        1      9      3      1
C  1.402504   1 115.50146  1 180        1      9      3     13
O  1.5        1 117.6907   1 180        1     14      9      3
H  1.1        1 109        1 -60        1     13      9      3
H  1.1        1 109        1 120        1     13      9     16
H  1.1        1 109        1 -120       1     13      9     16
H  1.1        1 109        1 -60        1     12     11      2
H  1.1        1 109        1 120        1     12     11     19
H  1.1        1 109        1 -120       1     12     11     19
H  1.1        1 109        1 -60        1      7      4      1
H  1.1        1 109        1 120        1      7      4     22
H  1.1        1 109        1 -120       1      7      4     22




